Gate Type,Fan-In,Fan-Out,Total Gate Count,Critical Path,Logic Depth
NOT,4,4,21488,9,8
NOT,1,4,20655,5,3
XOR,5,1,22246,9,5
XOR,1,2,22376,5,9
NOT,5,3,19448,10,8
OR,2,4,24789,8,8
OR,1,3,23636,10,9
NOT,3,1,21254,6,5
NOT,4,1,16436,6,5
OR,5,3,17449,7,4
OR,3,2,24251,10,6
NOT,2,4,20215,6,9
XOR,2,2,20117,5,9
NAND,2,2,18139,5,8
XOR,5,2,19370,9,5
AND,4,2,24802,6,4
NAND,3,4,15898,8,4
OR,2,2,18904,10,8
NAND,5,3,17321,10,3
OR,4,2,17336,10,8
AND,4,3,18770,7,3
AND,4,4,17835,5,4
AND,3,1,18497,8,9
OR,4,4,19181,5,5
NAND,1,2,16139,5,3
AND,5,4,21078,9,7
AND,3,2,17512,10,9
NOT,2,3,17564,10,6
XOR,3,4,20862,9,5
NOT,1,3,21931,8,4
OR,2,1,24230,6,6
NAND,3,3,20704,8,5
XOR,4,3,19782,7,8
OR,4,3,17733,7,3
NAND,3,3,21773,5,4
OR,5,1,15882,5,7
AND,4,3,23393,8,7
NOT,2,3,15933,8,3
AND,5,3,15098,9,7
XOR,1,1,18762,8,7
NOT,4,3,24042,6,4
NOT,1,1,24680,5,8
XOR,2,4,16927,5,9
OR,2,1,15567,6,9
NAND,5,3,16813,7,8
NAND,3,4,24643,7,4
NAND,2,2,21910,8,9
AND,5,3,21395,9,4
NOT,2,4,23942,5,4
XOR,4,1,22326,8,8
NAND,5,1,20907,9,7
XOR,4,1,16388,5,9
AND,2,4,20735,9,3
XOR,4,4,20101,8,6
NAND,1,3,21367,8,5
OR,1,1,19032,6,9
NOT,5,4,22280,9,5
XOR,3,3,22357,7,3
XOR,3,3,19432,9,6
XOR,1,2,23498,7,5
NAND,5,4,16083,6,3
NAND,5,2,20565,9,7
OR,5,2,22693,5,3
OR,2,1,24452,9,6
NAND,3,3,21446,8,9
AND,5,1,24333,7,7
NOT,1,2,24010,10,8
AND,1,4,15564,10,5
AND,1,2,22707,8,9
NOT,3,2,17523,8,5
XOR,4,1,19348,5,7
OR,5,3,24978,10,4
NOT,2,4,18387,10,6
NOT,4,2,16204,10,6
XOR,3,3,18808,5,3
AND,5,3,23325,6,7
AND,1,3,17310,10,5
AND,4,1,23197,10,5
XOR,3,3,20958,5,8
NAND,5,4,19709,9,5
NOT,1,1,20706,8,7
NOT,1,4,23543,9,9
NOT,1,3,22974,6,7
NAND,5,4,24560,10,6
NOT,4,2,24298,8,3
NOT,3,1,23410,5,9
AND,1,1,16364,10,9
AND,1,2,19292,9,3
OR,2,3,16545,10,3
NAND,5,4,15818,10,4
AND,3,4,15727,10,8
OR,3,4,16627,10,3
NAND,5,4,18106,7,7
NAND,5,1,15393,10,5
AND,5,1,17862,8,3
XOR,3,4,19453,8,9
OR,3,1,23572,10,4
NOT,3,3,19327,10,4
NOT,5,2,24474,8,4
AND,1,3,15092,8,5
OR,4,4,17735,7,7
NOT,5,1,15233,8,8
NOT,2,1,20059,9,5
NAND,4,2,19324,8,8
OR,4,3,20425,8,7
NAND,1,4,19379,6,8
NAND,2,3,21509,8,4
NOT,2,3,17020,8,5
XOR,3,4,24624,8,5
NOT,4,1,23422,8,4
XOR,4,4,18735,9,6
OR,3,1,18445,7,7
OR,4,3,19536,8,9
NOT,4,1,20931,6,5
NOT,1,4,21983,10,6
NAND,1,4,18817,8,4
NAND,4,2,17538,9,9
AND,3,4,23276,10,3
OR,1,1,24508,10,7
XOR,2,4,17655,10,5
OR,2,1,23768,9,9
AND,5,2,16132,6,6
AND,4,4,20155,6,4
NAND,3,3,17452,5,6
NAND,2,2,22111,9,9
NOT,3,3,22890,5,9
NOT,5,2,19951,5,6
OR,2,1,17281,9,3
NOT,5,4,18720,9,3
OR,5,4,18020,9,9
XOR,4,2,22771,5,7
XOR,2,3,18252,8,4
AND,3,2,19196,6,7
AND,5,3,16519,6,8
NAND,2,4,17251,9,5
OR,1,2,18575,5,7
NOT,4,2,17247,9,6
NAND,3,4,23134,6,9
NAND,5,2,18897,6,4
NAND,2,2,24891,6,5
NOT,2,1,23899,7,5
AND,4,1,18088,6,5
AND,4,3,23446,6,5
NOT,4,4,20807,5,9
NOT,3,3,20667,7,3
NAND,5,1,15454,10,8
NOT,5,1,17973,5,8
NAND,5,2,19628,7,3
OR,4,3,15388,8,5
NOT,1,4,16843,10,8
NOT,1,3,23543,6,9
XOR,1,3,20053,10,3
NAND,2,1,22277,5,7
NAND,3,3,16017,6,5
OR,4,1,22137,7,6
XOR,2,2,18340,9,6
NOT,4,2,22353,9,4
XOR,5,1,17700,9,6
OR,2,4,16863,6,6
AND,3,1,23107,9,9
XOR,3,2,21185,8,4
AND,3,4,19634,7,7
XOR,2,3,17589,10,5
NAND,2,4,22717,9,6
OR,1,3,20926,6,6
NOT,2,3,19120,5,7
NAND,3,1,22267,6,8
NAND,1,1,16100,6,9
AND,2,1,24568,7,4
NAND,1,3,21168,9,6
XOR,1,3,20622,5,5
NOT,1,3,20941,5,7
NOT,2,1,16782,7,7
NAND,2,1,15935,8,4
OR,1,3,24781,7,9
NAND,3,4,21114,10,4
NOT,3,4,15320,5,8
AND,3,3,18494,5,6
NOT,5,4,17132,9,4
XOR,1,3,19385,5,6
XOR,5,2,15519,8,8
XOR,2,1,24908,7,8
AND,1,2,23046,10,9
OR,5,1,15244,10,7
AND,2,1,16832,7,9
NAND,5,4,21755,9,6
XOR,2,2,23166,10,7
OR,3,1,21575,7,7
OR,1,2,18345,9,3
NOT,1,1,16019,10,8
OR,2,1,20391,7,6
NOT,3,3,17238,8,5
OR,1,4,24352,8,4
AND,2,4,17530,7,7
XOR,3,2,17265,10,5
AND,4,3,21099,6,7
OR,2,4,21196,5,3
NAND,3,3,24374,7,3
NAND,4,2,16526,6,8
AND,3,4,15162,7,3
NAND,5,4,16557,7,4
OR,4,2,18613,5,4
OR,5,2,23933,7,5
AND,2,1,17375,9,5
OR,4,4,24120,9,5
NOT,1,1,22305,8,9
XOR,5,4,17214,7,9
XOR,5,3,18514,9,4
XOR,4,1,23403,10,4
AND,3,2,22859,6,9
AND,2,1,15182,6,3
NAND,5,4,16117,5,6
OR,4,3,24238,6,7
XOR,2,3,16869,5,4
NOT,3,1,17732,9,8
OR,4,1,15304,7,5
NOT,4,2,22850,9,8
XOR,4,4,22446,8,5
XOR,5,4,18614,5,5
XOR,2,1,15798,5,3
OR,1,4,24660,5,9
XOR,3,2,20471,7,9
OR,2,4,21909,9,3
NOT,3,4,21613,7,7
NOT,5,4,16610,7,5
XOR,4,3,15725,9,5
XOR,5,1,22796,8,3
NOT,1,2,16959,10,4
XOR,1,2,15030,6,5
NAND,5,3,16646,7,3
AND,5,4,22393,8,8
XOR,1,1,19963,5,4
OR,1,4,16193,7,8
NOT,3,2,15274,8,3
NAND,5,3,18681,5,6
OR,5,4,23967,8,8
OR,4,2,20415,9,5
XOR,1,4,19523,5,4
OR,1,3,22902,6,8
NOT,2,1,20791,6,7
NAND,2,2,18065,9,6
XOR,1,2,17128,9,3
OR,5,4,18525,7,5
AND,1,1,21704,10,3
NAND,3,3,15055,8,5
NAND,2,1,24470,10,8
NOT,3,4,18077,8,4
NAND,2,4,24787,5,9
AND,1,3,17926,6,9
XOR,1,4,16699,7,3
XOR,5,3,20603,8,3
AND,1,3,21630,5,4
NOT,3,2,17381,8,8
OR,2,2,22388,9,8
XOR,1,4,18634,10,5
AND,5,3,22038,5,3
AND,4,2,16452,7,7
XOR,3,1,22532,5,4
NOT,5,4,22657,9,8
AND,5,1,20962,7,8
NAND,5,1,15330,8,4
XOR,3,2,23244,10,5
XOR,4,3,23174,10,7
NAND,2,2,24517,5,5
AND,1,2,19836,6,9
NAND,5,3,24665,8,4
OR,3,4,17400,6,8
XOR,3,3,16335,5,4
NAND,4,4,20144,7,3
XOR,5,1,22660,10,3
XOR,4,3,22516,9,3
NOT,1,1,17318,5,4
AND,5,3,19516,10,6
XOR,4,1,21613,10,9
NOT,3,4,16140,7,3
XOR,1,2,23041,8,9
NAND,4,4,24334,9,7
OR,4,1,17440,7,5
NOT,5,1,21995,9,8
OR,1,4,17148,8,7
NOT,3,1,17827,9,9
OR,5,4,18602,9,6
AND,2,4,23973,9,9
NOT,1,1,18992,8,8
AND,1,3,22042,6,4
NAND,5,1,24643,7,7
AND,4,2,20310,9,8
AND,3,3,15906,7,4
NOT,1,1,15909,10,9
NOT,1,2,20154,9,3
NAND,5,1,20229,8,6
AND,3,1,18225,9,7
NOT,5,2,15844,10,3
NAND,2,4,15544,6,3
NOT,3,2,23554,6,4
AND,4,4,21971,10,4
OR,3,2,20312,6,8
OR,3,2,16007,7,8
AND,5,3,15575,6,8
OR,3,4,15220,9,8
XOR,2,1,16666,10,9
XOR,3,2,19442,6,7
OR,3,2,15592,8,5
XOR,2,3,15858,8,9
OR,3,1,24395,9,5
OR,5,1,16703,7,9
NOT,2,3,16688,10,3
NOT,1,4,21156,8,4
NOT,2,2,24643,7,4
AND,2,2,20885,10,3
XOR,1,4,22259,9,5
OR,5,3,17333,6,5
AND,2,4,19732,8,6
OR,4,3,23179,6,3
OR,1,1,21466,7,8
NOT,4,3,17634,10,4
OR,3,4,24728,6,5
NOT,1,2,22566,6,7
NAND,4,2,23073,5,3
AND,2,1,18618,7,3
NAND,1,3,16707,9,8
AND,3,3,19829,8,8
AND,3,2,24093,10,9
XOR,5,4,16363,7,5
AND,2,3,18665,5,6
OR,4,3,17774,10,4
AND,2,2,21790,5,9
XOR,3,2,19221,5,5
AND,2,2,15910,5,3
OR,3,2,21668,6,8
OR,2,2,21477,5,4
OR,3,3,20818,8,3
NOT,2,3,16691,8,9
NAND,2,3,17531,6,9
NOT,3,1,15876,7,6
AND,2,3,21545,10,5
XOR,3,1,16572,6,9
NOT,4,4,20947,10,3
AND,2,1,16798,8,6
NAND,3,4,21372,8,3
AND,4,3,15036,6,4
XOR,5,2,18759,10,7
OR,4,3,16113,10,6
NOT,5,1,15520,7,3
OR,4,4,22392,10,5
AND,5,3,24348,10,7
NAND,1,3,24333,6,7
NOT,4,3,20491,6,9
NOT,3,2,15569,8,4
NAND,4,4,15811,10,9
OR,3,2,18555,10,6
XOR,2,1,15703,8,5
NOT,1,4,17562,10,3
NOT,5,2,24694,5,9
NAND,2,2,23894,9,7
NAND,1,4,23956,10,5
XOR,1,3,23522,7,7
OR,3,2,19318,9,5
NAND,4,3,21856,9,3
AND,3,3,21822,10,4
AND,2,1,19784,5,4
NOT,1,1,18149,6,9
NOT,5,1,24345,6,5
NAND,5,2,17113,8,8
NAND,1,3,23797,5,3
AND,4,2,24508,10,5
AND,2,2,15328,8,6
NAND,2,1,15630,8,9
NAND,5,4,16984,6,6
NOT,3,4,22252,6,3
NAND,5,4,23292,10,8
OR,3,1,16188,6,7
NOT,5,1,15019,8,5
OR,5,2,22857,7,6
NAND,1,4,17337,7,3
AND,1,1,22201,10,3
AND,5,2,16777,6,4
OR,5,1,23903,10,4
XOR,2,1,15541,9,5
XOR,3,3,22599,5,5
NOT,1,4,23484,8,4
XOR,2,1,24403,9,8
AND,3,1,20731,9,9
AND,2,4,18007,10,8
OR,2,3,16200,5,9
AND,5,3,22592,7,8
XOR,4,4,19798,6,8
NAND,5,2,15968,9,4
OR,3,2,17647,8,3
XOR,3,2,20158,5,7
XOR,2,2,23391,5,5
NOT,5,4,23198,9,5
AND,5,2,18959,7,6
NAND,2,4,17700,5,7
OR,5,3,18030,9,3
NAND,4,4,18540,9,9
NOT,3,2,21850,7,4
NAND,2,1,15298,5,5
NAND,1,4,24846,6,3
NAND,4,4,19905,8,8
NAND,4,1,19538,9,8
XOR,3,3,19210,5,6
XOR,1,1,16103,5,5
OR,4,4,22746,7,9
NAND,2,2,15152,8,6
NAND,5,3,15116,7,3
AND,4,3,24174,9,5
AND,1,4,20751,6,4
XOR,5,2,24062,5,4
NOT,3,4,17094,8,8
OR,2,4,22072,10,9
NOT,2,4,17431,7,3
XOR,1,2,22780,10,3
OR,1,2,23601,8,5
NOT,1,2,16242,7,3
OR,1,3,18688,9,6
NAND,4,4,22812,6,6
OR,2,3,21499,6,7
NAND,3,3,15473,8,7
OR,4,4,21019,10,3
AND,3,4,15868,7,6
OR,3,3,20062,9,3
NAND,3,4,18091,9,4
OR,5,1,23902,5,6
NOT,4,4,19547,10,7
OR,4,3,20585,9,4
NOT,2,1,17285,6,6
XOR,1,1,16593,6,3
AND,5,4,23856,7,8
NAND,4,1,16843,5,5
NAND,4,3,24070,6,5
AND,5,4,20747,10,6
NAND,5,4,16478,5,9
NAND,2,1,21384,10,8
AND,4,3,18910,7,6
XOR,5,1,20223,7,4
AND,5,4,20777,7,9
XOR,3,4,20283,6,4
NOT,5,4,24287,9,9
OR,5,2,16184,5,5
NAND,3,4,16856,10,6
XOR,2,3,19706,6,7
XOR,3,2,16658,9,3
NAND,3,1,20460,9,5
NAND,2,1,17359,5,4
NAND,4,1,20257,8,8
NAND,4,3,24056,10,6
OR,4,2,23553,10,7
NOT,5,4,17128,8,7
AND,2,1,15207,7,6
NAND,4,3,15883,9,5
AND,1,1,16256,8,5
XOR,1,3,16609,8,7
AND,4,3,15705,7,8
NOT,2,1,19275,8,5
NOT,4,2,23405,6,3
NAND,1,3,16913,5,3
OR,3,4,18942,6,3
XOR,1,4,17268,8,9
AND,2,3,23256,5,6
OR,4,3,22548,6,6
AND,4,3,24534,5,3
XOR,1,2,23337,10,6
OR,2,4,22865,8,4
NAND,1,3,20198,9,5
NAND,5,4,23122,7,6
NAND,2,1,15097,7,7
XOR,2,3,17094,10,8
NOT,1,3,20908,6,9
OR,3,3,18052,9,9
XOR,1,1,16105,9,7
NAND,3,1,21109,9,7
XOR,1,1,19929,9,4
NAND,4,2,22565,5,9
XOR,5,1,23729,7,5
NAND,3,4,20274,7,7
OR,1,1,17325,10,9
XOR,4,3,15948,10,7
NAND,2,3,23380,8,8
NAND,4,3,24103,5,8
NOT,4,3,21144,10,6
AND,1,2,24414,8,6
AND,1,4,24586,7,5
NAND,5,3,19076,10,3
AND,2,4,22412,5,6
NOT,5,2,20449,6,4
XOR,4,1,21633,8,7
OR,2,1,21899,5,8
AND,5,4,20219,5,6
XOR,1,1,20186,5,3
NOT,5,2,19475,5,4
AND,2,1,16442,5,7
XOR,2,1,24789,5,5
OR,5,4,19890,9,6
NAND,4,2,22477,6,8
OR,5,4,18450,5,9
XOR,3,1,24260,5,5
XOR,3,3,24937,5,5
NAND,3,1,21225,5,5
NOT,1,1,20929,8,6
NAND,2,1,21630,10,3
AND,3,4,17735,8,6
AND,5,3,17342,7,7
NOT,2,3,21098,8,3
NOT,3,4,24153,9,7
XOR,1,1,23163,9,7
OR,3,2,18736,10,7
XOR,3,3,21175,7,6
NAND,2,1,17902,8,6
OR,4,1,18369,10,3
XOR,3,1,19393,5,3
AND,2,2,16368,7,9
AND,1,3,22682,5,4
NAND,3,4,24042,8,5
XOR,1,4,22450,7,8
OR,2,1,23980,6,3
OR,4,1,21045,5,7
OR,5,1,21488,7,5
OR,4,1,16872,5,6
NOT,3,4,23485,5,5
AND,2,1,23643,10,6
XOR,2,3,19855,9,5
NAND,3,4,19804,7,5
XOR,4,4,17590,9,8
NAND,4,4,21025,9,6
OR,5,1,15082,6,5
XOR,1,3,19999,7,5
OR,5,4,20589,10,5
XOR,3,4,23547,9,4
OR,2,4,19831,10,6
AND,5,4,24530,7,8
NOT,4,2,20840,7,5
NAND,4,2,17971,10,4
XOR,5,2,16072,5,8
AND,4,4,19227,7,7
NAND,5,3,19214,5,3
XOR,2,1,22549,7,9
XOR,4,4,15517,10,5
AND,5,2,21738,10,4
AND,2,1,17449,5,9
NOT,5,1,17412,10,8
XOR,1,3,22763,6,9
OR,2,3,21998,7,7
NOT,1,3,22242,10,3
NAND,3,2,22136,10,4
XOR,2,2,18394,8,3
XOR,2,1,17413,5,7
OR,5,4,20918,7,7
OR,5,4,19662,9,7
NOT,5,3,20656,7,9
OR,1,3,16580,6,6
OR,4,2,19667,6,9
NAND,4,4,20751,5,7
NAND,3,3,22323,10,9
OR,3,4,18414,8,6
XOR,2,1,20201,5,4
NAND,5,4,15881,10,4
NAND,4,2,20675,9,5
XOR,4,4,21850,10,9
AND,3,3,18232,7,6
XOR,2,2,15700,7,6
NAND,3,2,21387,7,3
XOR,4,4,19585,8,3
NOT,1,3,24966,6,3
OR,4,3,22166,8,5
XOR,2,4,22148,5,5
NAND,2,4,18906,6,9
XOR,1,4,15764,8,4
AND,4,2,17162,8,9
XOR,5,3,18506,10,7
AND,4,4,22818,10,7
NOT,2,2,17620,9,8
XOR,1,2,17007,8,4
OR,1,4,20850,7,8
OR,2,2,22233,9,9
NOT,3,2,24978,7,8
AND,4,4,19654,8,6
NAND,2,3,21968,10,8
AND,3,4,23177,9,7
OR,3,2,19081,8,4
AND,4,3,23180,10,9
OR,2,3,15777,10,6
NAND,5,4,15140,7,5
NOT,2,1,21647,10,8
OR,5,3,24157,8,8
NOT,2,4,15348,10,6
NOT,1,2,23168,9,9
OR,1,2,21394,7,6
AND,4,1,19802,8,7
AND,3,2,17306,6,3
AND,2,1,17235,10,9
XOR,2,2,24234,10,6
OR,5,3,15300,9,5
NOT,2,2,19364,6,7
AND,4,4,15151,9,5
XOR,5,4,22263,7,6
NAND,4,3,15390,7,4
AND,4,2,17001,10,3
NAND,5,4,24657,7,5
NOT,4,4,16312,6,9
XOR,3,2,23857,9,7
AND,5,2,24996,7,8
NAND,3,3,20212,5,8
NAND,3,3,18412,9,6
AND,2,3,17772,5,8
XOR,3,4,18666,5,3
NAND,1,4,15192,9,9
OR,3,2,20060,10,5
OR,4,4,16748,6,6
OR,4,2,18991,9,7
NAND,2,2,16958,5,4
NOT,3,2,21524,8,8
OR,2,1,24624,6,7
XOR,3,3,15280,8,8
NAND,5,3,16563,9,9
NOT,4,1,22226,8,7
OR,5,3,19225,5,8
AND,4,4,20019,7,6
NOT,3,3,22356,10,9
OR,3,4,24967,9,7
AND,5,3,22324,6,8
XOR,1,3,18457,9,4
NOT,5,1,16215,6,8
NAND,1,4,23126,10,7
NOT,3,2,21619,7,6
NAND,1,3,15032,5,4
AND,5,1,15906,5,9
OR,1,1,18252,6,8
NAND,5,3,18857,9,3
OR,3,2,24262,9,5
AND,4,2,21881,10,3
NAND,4,1,19597,6,9
AND,2,1,18537,7,6
NOT,5,2,24436,7,9
XOR,5,2,15395,8,5
XOR,2,3,23255,6,3
OR,5,2,16075,8,8
NOT,2,2,19675,7,4
NOT,4,3,21174,8,9
OR,4,3,16177,7,9
NOT,2,4,19267,8,6
AND,5,1,22452,5,8
NAND,5,1,15910,7,4
NOT,1,3,17750,10,8
NAND,4,2,17024,9,7
NOT,1,4,15643,6,5
NAND,3,4,24613,6,7
NOT,3,1,15867,8,5
NOT,4,3,17412,10,5
OR,3,3,22527,7,3
OR,2,2,22542,10,5
OR,2,2,24465,6,7
OR,5,2,19491,9,5
OR,5,1,17886,9,6
NOT,3,3,24102,6,4
XOR,5,3,24063,9,9
OR,3,4,19074,10,5
OR,4,1,22495,9,6
OR,3,3,15107,8,7
AND,4,3,24892,9,5
NAND,3,4,22019,5,9
XOR,4,4,17340,9,3
NOT,2,2,15019,7,4
AND,5,3,18883,5,8
OR,5,2,23604,8,7
OR,3,4,24739,5,7
NOT,3,4,23201,6,9
NOT,4,1,23749,10,3
NAND,5,4,16212,7,8
NAND,3,2,24172,5,8
AND,3,3,21433,10,5
XOR,3,4,19840,9,9
AND,5,1,21964,6,5
XOR,1,1,15522,9,8
OR,3,4,15273,6,9
AND,5,4,22425,6,8
NAND,4,3,24600,8,6
NOT,4,1,21115,5,9
NAND,3,2,23613,6,3
NOT,5,3,23265,8,5
NOT,4,2,18294,10,6
XOR,2,1,18818,5,7
OR,4,2,15022,7,7
NOT,5,3,22510,7,3
OR,5,2,19759,9,3
NOT,5,3,24043,9,6
AND,1,2,23126,5,7
NOT,3,1,19192,7,7
NAND,5,4,19901,9,8
XOR,3,4,19715,8,3
AND,4,3,24837,9,9
OR,4,2,15672,8,5
OR,1,3,24915,7,5
OR,5,4,24810,5,4
OR,4,3,18687,9,3
NOT,3,2,19816,7,4
OR,2,1,19131,9,4
AND,1,4,22525,6,9
NAND,2,4,24116,6,9
XOR,3,3,21213,6,3
NAND,5,2,19863,6,4
OR,2,2,16777,8,8
NOT,4,2,16721,8,7
NOT,1,1,16284,6,7
NOT,4,2,18532,10,9
XOR,1,3,18741,9,7
AND,2,3,18519,5,7
AND,3,4,20058,6,7
NAND,4,3,21169,6,7
NOT,5,4,19443,10,6
NAND,5,1,20835,8,5
NOT,5,2,15162,7,9
XOR,3,2,16978,7,9
NOT,5,2,17212,6,4
NOT,5,4,17102,7,4
NAND,3,3,15312,9,5
NAND,1,3,17487,8,4
XOR,3,2,15370,7,6
AND,3,3,22814,9,7
NAND,3,2,20956,5,6
NOT,4,3,23794,6,6
AND,5,1,17809,10,8
NAND,4,3,17156,7,9
NAND,4,3,17058,10,3
NAND,1,4,19030,9,4
NOT,5,3,23920,6,4
NOT,1,2,19339,5,7
XOR,4,2,21886,10,5
XOR,1,3,21979,9,4
XOR,4,3,17563,6,4
XOR,1,1,18067,9,9
OR,5,2,19539,9,7
AND,4,3,19579,6,4
OR,1,1,15897,5,9
XOR,5,1,19788,5,8
OR,2,1,20477,7,8
AND,3,3,17294,10,9
AND,5,2,20291,10,6
OR,5,2,24677,5,7
XOR,2,1,16601,8,6
XOR,3,3,16401,10,4
NOT,1,3,19118,5,9
OR,2,4,15184,8,4
NAND,1,4,18643,7,7
XOR,3,2,17636,7,5
OR,5,2,21980,7,8
NAND,5,3,24679,7,7
XOR,2,3,20424,5,9
AND,2,3,24170,8,5
OR,4,4,20014,7,4
OR,3,1,16282,6,3
NAND,5,4,20752,10,6
OR,3,2,21444,6,7
XOR,4,4,21179,8,5
NOT,5,2,24096,7,9
OR,1,3,24756,7,4
AND,4,4,24674,9,8
OR,1,1,20865,6,3
AND,1,4,18629,9,4
NOT,1,3,19657,8,3
NAND,1,3,17393,10,9
AND,5,2,23460,9,3
AND,5,4,22471,6,7
OR,1,3,21712,6,4
NAND,3,4,15227,8,6
NAND,5,4,24001,10,5
XOR,1,4,17142,8,4
OR,5,4,22261,10,9
NAND,4,1,24418,9,6
NAND,4,2,23781,5,4
NAND,3,2,18353,5,9
AND,3,4,20794,8,7
XOR,2,1,23126,7,4
XOR,2,2,23350,5,5
OR,2,2,19860,7,9
OR,4,1,20707,7,8
XOR,4,4,18010,9,4
NOT,5,3,17265,8,6
OR,1,3,16347,10,6
XOR,3,3,16903,10,5
XOR,2,2,18129,7,4
OR,3,2,24118,6,4
NOT,1,1,23458,9,3
XOR,2,2,20369,6,8
AND,1,4,16432,8,3
OR,2,2,20143,9,8
NOT,4,2,19926,7,6
XOR,1,2,15481,6,6
OR,1,2,18731,9,3
AND,4,4,22494,10,4
NAND,5,3,20125,5,9
NOT,1,1,18250,5,6
NOT,1,2,15473,10,4
OR,3,1,20121,6,5
NAND,3,3,24054,6,8
XOR,4,2,22622,10,9
OR,5,2,22938,6,6
NOT,2,2,21966,6,4
NOT,5,2,23263,6,6
NAND,5,1,17419,10,7
OR,4,1,18829,9,3
OR,3,4,24280,5,8
AND,2,1,19756,5,6
NAND,3,1,15596,10,5
NOT,5,1,22770,5,5
NAND,4,4,22301,6,7
OR,4,2,15069,8,7
NAND,1,4,19769,7,9
AND,3,4,15463,7,5
OR,5,2,21873,8,4
XOR,1,3,21060,8,5
XOR,4,3,17003,9,3
NAND,2,4,23947,10,8
OR,1,4,23660,5,5
AND,5,2,17973,6,7
AND,3,2,23411,9,7
XOR,3,2,21205,5,7
NAND,3,2,19698,10,9
NOT,4,1,17718,7,9
NOT,1,4,19482,5,7
NAND,2,3,17838,5,3
XOR,1,1,15888,6,4
OR,4,1,24254,8,3
NAND,2,3,15529,5,8
XOR,1,2,22325,10,6
AND,5,1,20866,8,9
NOT,2,4,18459,7,6
NOT,1,1,20241,5,8
AND,4,3,16311,6,6
NAND,1,2,21111,9,6
NAND,5,2,15574,9,8
NAND,2,1,19573,7,7
NOT,4,2,23558,10,7
NOT,2,1,22610,6,5
XOR,4,3,15142,7,7
XOR,4,1,15917,8,5
NOT,2,3,16472,9,9
OR,4,1,23146,8,8
AND,4,3,17057,6,8
OR,5,4,24776,9,6
OR,3,1,16269,5,9
AND,1,4,20916,8,5
AND,2,3,18932,8,6
NOT,2,4,22940,10,7
NOT,3,2,15435,8,4
OR,2,2,15244,10,5
NAND,3,2,23257,10,3
XOR,5,3,23938,8,6
AND,1,4,16541,5,7
NAND,4,3,24282,6,7
NOT,2,2,23055,6,8
NAND,3,2,17071,10,9
NOT,1,2,20440,9,5
NAND,2,4,21747,6,5
OR,1,3,16106,8,6
XOR,4,3,15003,9,4
NAND,3,2,17378,6,5
OR,4,3,24156,6,6
OR,5,2,23691,8,9
XOR,3,2,18131,8,3
AND,4,3,15710,8,7
NOT,2,2,22150,10,5
AND,1,4,17802,8,3
NAND,5,3,22246,9,8
OR,5,3,22138,5,6
XOR,2,2,18306,9,8
OR,3,2,17449,6,5
AND,3,2,17459,9,5
NAND,5,2,22784,9,3
NAND,2,3,24849,9,8
NOT,4,2,16390,6,7
XOR,1,1,19480,7,3
AND,2,2,21221,8,5
NOT,2,3,17337,5,9
XOR,1,4,17346,10,6
OR,1,2,24063,5,7
NAND,1,1,19152,9,9
AND,2,4,21761,8,3
AND,3,1,19579,10,4
NAND,4,1,17979,7,5
OR,4,2,21841,5,9
AND,4,4,16401,10,5
NAND,2,1,17569,5,5
XOR,3,4,18270,5,6
NOT,1,1,16428,5,8
XOR,5,2,20453,7,5
XOR,3,1,20600,10,9
XOR,5,3,23659,8,8
NOT,3,4,15506,10,6
AND,4,4,15034,8,8
XOR,1,2,22050,9,7
XOR,3,3,22093,10,3
NAND,3,2,15787,9,9
NOT,2,2,18143,6,9
OR,5,4,16333,9,9
OR,4,2,17977,7,6
NAND,3,2,20084,5,9
AND,3,4,19139,9,4
XOR,4,1,21675,6,3
OR,3,1,17401,8,8
OR,4,4,20990,8,9
NAND,2,1,22101,6,3
XOR,2,1,24938,6,3
NOT,2,3,23989,10,8
NOT,5,2,21518,7,9
OR,1,1,16913,8,9
AND,3,2,23776,10,8
NOT,2,2,22834,6,6
OR,5,2,22935,10,9
OR,5,4,15044,9,6
AND,3,4,19959,8,7
NOT,3,1,17432,8,3
XOR,3,3,16530,9,3
OR,3,3,22967,6,3
OR,5,4,20020,6,9
OR,4,4,19528,6,4
AND,5,1,19949,9,4
AND,3,2,15288,5,8
OR,2,1,22793,8,5
OR,1,3,16988,9,6
OR,5,2,19661,9,6
AND,3,1,16319,5,7
NOT,5,3,19074,6,9
NOT,3,1,20060,9,6
NOT,2,1,23219,8,8
NAND,2,2,22772,5,4
OR,5,4,18400,8,7
NOT,2,2,21154,6,9
NOT,5,2,23645,8,7
NAND,2,2,24317,6,5
XOR,1,1,20353,7,4
AND,5,2,24527,7,9
NAND,4,3,21836,9,5
OR,2,2,16718,5,9
XOR,2,3,15790,8,7
XOR,3,4,23921,9,9
XOR,5,1,15601,10,8
AND,5,1,23858,5,3
XOR,3,4,18402,8,8
AND,4,2,18005,5,3
OR,2,4,16144,10,9
NOT,2,4,21461,8,3
NOT,3,2,18998,9,7
NOT,3,2,19037,7,8
OR,3,2,16590,8,8
AND,4,1,15644,10,7
AND,2,2,22723,10,3
OR,5,3,19596,5,3
XOR,1,2,16601,5,9
NAND,2,2,15688,5,4
NAND,3,4,22562,6,3
NAND,1,2,24709,10,5
XOR,2,3,20472,9,8
OR,5,1,20101,7,4
OR,2,3,17523,8,7
XOR,5,2,16579,10,9
